"axis","trait","type","contrast","median","lo","hi","sig"
"temperature","Topt","microbe_vs_none","mic_11",2.12,1.07,3.15,TRUE
"temperature","Topt","microbe_vs_none","mic_12",0.199,-0.445,0.865,FALSE
"temperature","Topt","microbe_vs_none","mic_13",0.13,-0.643,0.891,FALSE
"temperature","Topt","microbe_vs_none","mic_14",0.253,-0.442,1.02,FALSE
"temperature","Topt","microbe_vs_none","mic_15",-0.11,-0.761,0.513,FALSE
"temperature","Topt","microbe_vs_none","mic_2",0.447,-0.317,1.32,FALSE
"temperature","Topt","microbe_vs_none","mic_3",0.265,-0.384,1.06,FALSE
"temperature","Topt","microbe_vs_none","mic_4",0.205,-0.493,0.973,FALSE
"temperature","Topt","microbe_vs_none","mic_5",0.19,-0.477,0.858,FALSE
"temperature","Topt","microbe_vs_none","mic_6",0.0328,-0.57,0.657,FALSE
"temperature","Topt","microbe_vs_none","mic_7",0.169,-0.545,0.941,FALSE
"temperature","Topt","microbe_vs_none","mic_8",0.16,-0.496,0.757,FALSE
"temperature","Topt","microbe_vs_none","mic_9",0.305,-0.332,0.933,FALSE
"temperature","Topt","community_vs_none","all",0.979,0.0606,1.86,TRUE
"temperature","Topt","emergent_mean","all - mean(15)",0.673,-0.0753,1.48,FALSE
"temperature","Topt","emergent_sum","all - sum(15)",-3.77,-10.2,3.34,FALSE
"temperature","breadth","microbe_vs_none","mic_1",0.319,-0.789,1.32,FALSE
"temperature","breadth","microbe_vs_none","mic_10",0.496,-0.547,1.54,FALSE
"temperature","breadth","microbe_vs_none","mic_11",-2.52,-4.24,-0.976,TRUE
"temperature","breadth","microbe_vs_none","mic_12",-0.305,-1.44,0.831,FALSE
"temperature","breadth","microbe_vs_none","mic_13",0.254,-0.924,1.55,FALSE
"temperature","breadth","microbe_vs_none","mic_14",0.0603,-1.03,1.18,FALSE
"temperature","breadth","microbe_vs_none","mic_15",0.641,-0.389,1.77,FALSE
"temperature","breadth","microbe_vs_none","mic_2",-0.0162,-1.29,1.13,FALSE
"temperature","breadth","microbe_vs_none","mic_3",0.247,-0.822,1.33,FALSE
"temperature","breadth","microbe_vs_none","mic_4",0.0276,-1.09,1.08,FALSE
"temperature","breadth","microbe_vs_none","mic_5",-0.12,-1.15,0.902,FALSE
"temperature","breadth","microbe_vs_none","mic_6",0.388,-0.578,1.39,FALSE
"temperature","breadth","microbe_vs_none","mic_7",0.424,-0.698,1.5,FALSE
"temperature","breadth","microbe_vs_none","mic_8",-0.0744,-1.06,1.01,FALSE
"temperature","breadth","microbe_vs_none","mic_9",-0.295,-1.35,0.736,FALSE
"temperature","breadth","community_vs_none","all",-0.843,-2.12,0.429,FALSE
"temperature","breadth","emergent_mean","all - mean(15)",-0.81,-1.97,0.229,FALSE
"temperature","breadth","emergent_sum","all - sum(15)",-0.353,-10.9,10.6,FALSE
"temperature","r.max","microbe_vs_none","mic_1",0.0397,-0.0916,0.163,FALSE
"temperature","r.max","microbe_vs_none","mic_10",0.0219,-0.103,0.143,FALSE
"temperature","r.max","microbe_vs_none","mic_11",0.0726,-0.0869,0.236,FALSE
"temperature","r.max","microbe_vs_none","mic_12",0.0582,-0.0664,0.184,FALSE
"temperature","r.max","microbe_vs_none","mic_13",-0.0572,-0.205,0.0917,FALSE
"temperature","r.max","microbe_vs_none","mic_14",0.0274,-0.1,0.157,FALSE
"temperature","r.max","microbe_vs_none","mic_15",0.0144,-0.116,0.149,FALSE
"temperature","r.max","microbe_vs_none","mic_2",0.111,-0.0228,0.248,FALSE
"temperature","r.max","microbe_vs_none","mic_3",0.0526,-0.0709,0.168,FALSE
"temperature","r.max","microbe_vs_none","mic_4",-0.0165,-0.149,0.111,FALSE
"temperature","r.max","microbe_vs_none","mic_5",0.0941,-0.0269,0.212,FALSE
"temperature","r.max","microbe_vs_none","mic_6",0.0461,-0.0734,0.159,FALSE
"temperature","r.max","microbe_vs_none","mic_7",0.016,-0.117,0.144,FALSE
"temperature","r.max","microbe_vs_none","mic_8",0.0446,-0.0782,0.167,FALSE
"temperature","r.max","microbe_vs_none","mic_9",0.0233,-0.097,0.147,FALSE
"temperature","r.max","community_vs_none","all",0.198,0.0607,0.338,TRUE
"temperature","r.max","emergent_mean","all - mean(15)",0.161,0.0553,0.265,TRUE
"temperature","r.max","emergent_sum","all - sum(15)",-0.356,-1.73,0.945,FALSE
