"","block","Chlamy","mic","temp","well.ID","r.exp"
"183",2,"n","2",14,"2.3.9",-0.0757361906678927
"184",2,"y","2",14,"2.5.6",0.0205968203473745
"185",1,"y","2",20,"1.1.1",0.181652377500664
"186",1,"n","2",20,"1.1.10",-0.261559912284174
"187",1,"y","2",20,"1.4.8",0.347222156929312
"188",1,"y","2",20,"2.1.4",1.22973009224258
"189",1,"n","2",20,"2.2.9",-0.169151353783799
"190",1,"n","2",20,"2.4.8",-0.089833683325076
"191",2,"n","2",20,"1.1.7",-0.0734623180755184
"192",2,"y","2",20,"1.2.1",1.18422937049756
"193",2,"y","2",20,"1.4.2",1.10287430227186
"194",2,"n","2",20,"2.2.7",-0.0630267576404589
"195",2,"y","2",20,"2.4.1",0.79440775594274
"196",2,"n","2",20,"2.4.6",-0.0783117909701006
"197",1,"n","2",25,"1.1.4",-0.122406208446268
"198",1,"n","2",25,"2.2.3",-0.114959673328966
"199",1,"n","2",25,"2.2.8",-0.147862325441486
"200",1,"y","2",25,"2.2.10",1.77455726907973
"201",1,"y","2",25,"2.5.5",1.7711859006372
"202",1,"y","2",25,"2.6.8",1.62376650883886
"203",2,"y","2",25,"1.5.7",0.740267032614237
"204",2,"n","2",25,"2.1.6",-0.107052094808177
"205",2,"n","2",25,"2.3.4",-0.121140486558727
"206",2,"n","2",25,"2.4.4",-0.0712253693859022
"207",2,"y","2",25,"2.4.5",1.00542559417442
"208",2,"y","2",25,"2.4.10",0.682620908056176
"209",1,"y","2",30,"1.2.8",1.54769913512019
"210",1,"n","2",30,"2.2.9",-0.108441775736712
"211",1,"n","2",30,"4.2.3",-0.112858545572896
"212",1,"n","2",30,"10.2.3",-0.244098112537266
"213",1,"y","2",30,"21.3.3",1.7173181613209
"214",1,"y","2",30,"24.6.8",1.42530238105034
"215",2,"n","2",30,"2.2.5",0.0234506188955025
"216",2,"n","2",30,"6.6.3",-0.0885105932884499
"217",2,"n","2",30,"7.1.4",-0.0398851226845702
