"","block","mic","rep","id","Parameter","mean","Rhat","n.eff"
"83",1,"3",1,"b1.m3","deviance",0.20540497820861,1.00094840989818,6000
"84",1,"3",1,"b1.m3","r_max",1.48978952278426,1.00087781489209,6000
"85",1,"15",2,"b1.m15","K_s",16.5765354633849,1.00056081680389,6000
"86",1,"15",2,"b1.m15","deviance",2.9086859870801,1.00068084008053,6000
"87",1,"15",2,"b1.m15","r_max",1.45331567647417,1.00077222496569,6000
"88",1,"11",1,"b1.m11","K_s",45.5318096443989,1.00141987441317,3800
"89",1,"11",1,"b1.m11","deviance",13.1268300146938,1.00122444516842,4800
"90",1,"11",1,"b1.m11","r_max",1.21960937377793,1.00150146316792,3500
"91",1,"2",1,"b1.m2","K_s",28.9529820937195,1.000753685392,6000
"92",1,"2",1,"b1.m2","deviance",-5.19840773250091,1.00098379533892,6000
"93",1,"2",1,"b1.m2","r_max",1.58710002009795,1.00158958497657,3200
"94",1,"13",3,"b1.m13","K_s",49.1122435124442,1.00083762009941,6000
"95",1,"13",3,"b1.m13","deviance",-9.46685274560093,1.00136554511475,4000
"96",1,"13",3,"b1.m13","r_max",1.66195403146618,1.000894506106,6000
"97",1,"12",2,"b1.m12","K_s",17.8662114920899,1.00066236036421,6000
"98",1,"12",2,"b1.m12","deviance",5.72264640001935,1.00094187766576,6000
"99",1,"12",2,"b1.m12","r_max",1.67011978795131,1.00099378585357,6000
"100",1,"14",2,"b1.m14","K_s",20.5550309577645,1.00115214587185,5400
"101",1,"14",2,"b1.m14","deviance",-14.1315762732157,1.00177775918311,2700
"102",1,"14",2,"b1.m14","r_max",1.56778159085759,1.00234534128211,1900
"103",1,"10",3,"b1.m10","K_s",17.6464076980313,1.00080983605981,6000
"104",1,"10",3,"b1.m10","deviance",12.4425548770819,1.00066213238915,6000
"105",1,"10",3,"b1.m10","r_max",1.5197524999875,1.0011498113423,5400
"106",1,"7",3,"b1.m7","K_s",32.5909024108418,1.00105539523494,6000
"107",1,"7",3,"b1.m7","deviance",24.3021952146008,1.00081374590015,6000
"108",1,"7",3,"b1.m7","r_max",1.52776245828196,1.00081238401393,6000
"109",1,"none",3,"b1.mnone","K_s",27.5016111442831,1.00079187413136,6000
"110",1,"none",3,"b1.mnone","deviance",6.04744043702997,1.00149110952288,3500
"111",1,"none",3,"b1.mnone","r_max",1.58910104119101,1.0014297651036,3800
"112",1,"9",2,"b1.m9","K_s",25.3626297762889,1.00064758982202,6000
"113",1,"9",2,"b1.m9","deviance",-7.85299464558412,1.00104618181654,6000
"114",1,"9",2,"b1.m9","r_max",1.33552930356452,1.00083690414653,6000
"115",1,"5",3,"b1.m5","K_s",36.5378612531805,1.00179851240144,2700
