"","block","mic","rep","id","Parameter","est","se","p"
"155",2,"6",2,"b2.m6.r2","b",0.674790694800298,0.175303898416417,0.00629845918531611
"156",2,"6",2,"b2.m6.r2","c",1.50553780307741,0.953320992628267,0.158287237511921
"157",2,"15",1,"b2.m15.r1","a",2.11274987096424,0.326927445945271,0.000346172476671402
"158",2,"15",1,"b2.m15.r1","b",1.0642068870922,0.308367083549712,0.0106753457376209
"159",2,"15",1,"b2.m15.r1","c",1.97812152094863,0.436982029920633,0.002710110375579
"160",2,"10",3,"b2.m10.r3","a",2.5,1.63913453148398,0.171039204720551
"161",2,"10",3,"b2.m10.r3","b",0.611913870728252,0.276960522887483,0.0628537843794239
"162",2,"10",3,"b2.m10.r3","c",0.884979215308885,2.32510601029334,0.714773243797405
"163",2,"5",1,"b2.m5.r1","a",1.82651932561944,0.363299333011183,0.00151746642180245
"164",2,"5",1,"b2.m5.r1","b",0.824387889223507,0.276580956525871,0.0204963079402479
"165",2,"5",1,"b2.m5.r1","c",2.40561381217183,0.693118785710479,0.0103959170165586
"166",2,"all",3,"b2.mall.r3","a",2.31442574625365,0.84046986289984,0.0283511356826383
"167",2,"all",3,"b2.mall.r3","b",0.89935943210836,0.33583669677648,0.0316323255917778
"168",2,"all",3,"b2.mall.r3","c",1.13550157701614,0.988213050356293,0.288279846985607
"169",2,"1",3,"b2.m1.r3","a",2.5,1.50447229245952,0.140525065824658
"170",2,"1",3,"b2.m1.r3","b",0.482821085043065,0.171302834260194,0.0258279339570294
"171",2,"1",3,"b2.m1.r3","c",0.769783008825199,2.57962433330132,0.77405440899439
"172",2,"6",3,"b2.m6.r3","a",2.41485506754308,0.527011668774215,0.00253722799935874
"173",2,"6",3,"b2.m6.r3","b",0.6864647343594,0.171980149611233,0.00524616886949645
"174",2,"6",3,"b2.m6.r3","c",1.88787855169307,0.801544244539281,0.050690475133891
"175",2,"none",2,"b2.mnone.r2","a",2.29904749308896,0.600633519395081,0.00647708568253924
"176",2,"none",2,"b2.mnone.r2","b",0.685533371927559,0.163982394528423,0.00413451796374621
"177",2,"none",2,"b2.mnone.r2","c",1.35092106300388,0.898159563610047,0.176266085792713
"178",2,"15",2,"b2.m15.r2","a",2.5,1.08241608325166,0.0542149129095057
"179",2,"15",2,"b2.m15.r2","b",0.794562219096417,0.415596260366856,0.097490322796502
"180",2,"15",2,"b2.m15.r2","c",1.68034165966867,1.39778524578829,0.268391096586341
"181",2,"3",3,"b2.m3.r3","a",2.5,2.03688255140971,0.259355886393521
"182",2,"3",3,"b2.m3.r3","b",0.36268125420355,0.163926522221529,0.0625694393331828
"183",2,"3",3,"b2.m3.r3","c",0.90076583198258,4.55521539960285,0.848865235474507
"184",2,"2",1,"b2.m2.r1","a",2.5,1.08320589182946,0.0543495904926922
"185",2,"2",1,"b2.m2.r1","b",0.648073547740995,0.275884697834609,0.051157156156296
"186",2,"2",1,"b2.m2.r1","c",1.62489050233994,1.60757710055221,0.345781834304889
"187",2,"5",2,"b2.m5.r2","a",1.9016768277518,0.227260214422985,6.83307403369078e-05
"188",2,"5",2,"b2.m5.r2","b",1.13831497516213,0.319634395150183,0.0092033726152868
"189",2,"5",2,"b2.m5.r2","c",2.34617432803766,0.349389602233441,0.000273625908332262
"190",2,"11",3,"b2.m11.r3","a",2.5,1.9982765130405,0.251097335401779
"191",2,"11",3,"b2.m11.r3","b",0.70342767216145,0.452175387159773,0.163743158127597
"192",2,"11",3,"b2.m11.r3","c",1.0314021292207,2.58059531656921,0.701309563646351
"193",2,"14",2,"b2.m14.r2","a",2.5,0.644627531555468,0.0060670049893721
"194",2,"14",2,"b2.m14.r2","b",0.853617558196544,0.292334198210692,0.0223398350801638
"195",2,"14",2,"b2.m14.r2","c",1.733212387785,0.799051417233907,0.0667068516994301
"196",2,"10",2,"b2.m10.r2","a",2.5,0.864052777519382,0.0232053114465182
"197",2,"10",2,"b2.m10.r2","b",0.777218771413074,0.30634004701401,0.0388274836599632
"198",2,"10",2,"b2.m10.r2","c",1.59906845887239,1.12036935213176,0.196551441661965
"199",2,"10",1,"b2.m10.r1","a",1.62811997793301,0.162249379384446,2.09114142767498e-05
"200",2,"10",1,"b2.m10.r1","b",1.25913870715559,0.393340037169689,0.0150418579764083
"201",2,"10",1,"b2.m10.r1","c",2.90416405129338,0.31165136010573,3.3999977977978e-05
"202",2,"15",3,"b2.m15.r3","a",1.81704071807517,0.374610843843062,0.00185530774635975
