"","block","Chlamy","mic","nit","well.ID","r.exp"
"270",1,"n","2",5,"32.1.10",-0.17984191373198
"271",2,"n","2",5,"10.5.4",-0.0838498881472322
"272",2,"n","2",5,"14.2.3",0.297252043851755
"273",2,"n","2",5,"20.3.4",-0.0745697448699622
"274",2,"y","2",5,"23.6.10",0.450495415380886
"275",2,"y","2",5,"29.3.2",-0.159359722260039
"276",2,"y","2",5,"30.2.3",0.0634852025803936
"277",1,"y","2",400,"10.2.8",1.5467641469923
"278",1,"n","2",400,"12.4.4",-0.0778715097771011
"279",1,"y","2",400,"13.1.9",1.35624752552527
"280",1,"n","2",400,"20.5.5",-0.189636088355554
"281",1,"n","2",400,"21.6.10",-0.278701734205021
"282",1,"y","2",400,"31.1.8",1.45798922948385
"283",2,"y","2",400,"6.2.6",1.94384909388082
"284",2,"y","2",400,"6.2.10",2.20592465341465
"285",2,"y","2",400,"10.5.3",0.372982354538232
"286",2,"n","2",400,"18.4.9",-0.170117767296906
"287",2,"n","2",400,"23.2.2",-0.159724699609326
"288",2,"n","2",400,"31.4.6",-0.117524021651705
"289",1,"n","2",700,"7.1.6",-0.158901220691183
"290",1,"y","2",700,"10.6.2",1.67121387857279
"291",1,"n","2",700,"18.3.9",-0.271379538708485
"292",1,"y","2",700,"25.3.1",1.31185185389224
"293",1,"n","2",700,"25.6.5",-0.102441896644819
"294",1,"y","2",700,"32.2.3",1.47141475877951
"295",2,"n","2",700,"12.4.6",-0.160471366512929
"296",2,"y","2",700,"14.6.5",0.277588705231381
"297",2,"n","2",700,"20.1.6",-0.170257708661526
"298",2,"n","2",700,"21.1.7",0.039647472893535
"299",2,"y","2",700,"23.6.4",1.5512161372446
"300",2,"y","2",700,"28.5.2",1.76370279334784
"301",1,"n","3",1,"4.6.3",0.0371445317421499
"302",1,"y","3",1,"6.6.8",-0.210918422514703
"303",1,"n","3",1,"9.1.5",-0.0234913743944761
"304",1,"n","3",1,"14.5.5",-0.215590925795024
"305",1,"y","3",1,"15.4.2",-0.149903583237051
"306",1,"y","3",1,"27.4.4",-0.148966242784754
"307",2,"y","3",1,"8.2.7",-0.19199943393721
"308",2,"n","3",1,"12.6.8",-0.0401561299007814
"309",2,"n","3",1,"13.1.3",-0.137079294474234
"310",2,"y","3",1,"17.6.9",-0.133344463169496
"311",2,"y","3",1,"30.2.6",-0.204238782243318
"312",2,"n","3",1,"30.4.6",-0.138537660435558
"313",1,"n","3",50,"10.4.5",-0.0951655691870285
"314",1,"y","3",50,"10.6.10",0.887274510006308
"315",1,"n","3",50,"11.1.10",-0.109173788650929
"316",1,"n","3",50,"16.5.9",0.271430712100769
"317",1,"y","3",50,"18.2.7",1.16925345449195
"318",1,"y","3",50,"28.6.9",0.562990637697253
"319",2,"y","3",50,"4.2.2",1.4304892672774
"320",2,"n","3",50,"6.2.2",-0.0974989899102097
"321",2,"y","3",50,"11.2.3",1.19202999911818
"322",2,"n","3",50,"12.3.6",-0.0370552586303965
"323",2,"y","3",50,"12.6.6",0.927949692958866
"324",2,"n","3",50,"12.6.9",-0.0536298017238362
"325",1,"y","3",0,"1.1.6",-0.101528752444373
"326",1,"n","3",0,"3.2.6",-0.117759442355682
"327",1,"y","3",0,"6.4.5",-0.149203182884011
"328",1,"y","3",0,"13.4.6",-0.087937867119505
"329",1,"n","3",0,"20.6.7",-0.2940350340177
"330",1,"n","3",0,"32.2.10",-0.0773655895495137
"331",2,"y","3",0,"7.5.7",-0.137499587093971
"332",2,"n","3",0,"8.1.9",-0.0559859509322285
"333",2,"n","3",0,"17.4.3",-0.110748431812256
"334",2,"y","3",0,"21.2.10",-0.108851966263531
"335",2,"n","3",0,"23.4.3",-0.0631715689534292
"336",2,"y","3",0,"29.1.10",-0.141955277213772
"337",1,"y","3",25,"1.5.6",1.13483063056012
"338",1,"n","3",25,"2.2.3",-0.105953682888384
"339",1,"y","3",25,"10.1.3",1.10404584708215
"340",1,"n","3",25,"13.5.2",-0.14722032084342
"341",1,"y","3",25,"15.1.9",0.594496266997679
"342",1,"n","3",25,"15.6.3",-0.151029595948061
"343",2,"n","3",25,"21.2.1",-0.0945151114465341
"344",2,"y","3",25,"24.2.5",0.454728963560312
"345",2,"y","3",25,"24.5.2",0.167287109948973
"346",2,"n","3",25,"25.1.9",-0.125411825444781
"347",2,"y","3",25,"29.4.7",1.2568836017513
"348",2,"n","3",25,"31.1.5",-0.10228512416479
"349",1,"n","3",10,"4.4.9",-0.0821437288927156
"350",1,"n","3",10,"7.5.5",0.0346665559968401
"351",1,"y","3",10,"11.1.5",0.891567938541103
"352",1,"n","3",10,"16.5.1",-0.106691202617414
"353",1,"y","3",10,"20.6.4",0.3027124793177
"354",1,"y","3",10,"31.3.7",0.156441006594739
"355",2,"y","3",10,"2.5.9",0.990966111843808
"356",2,"n","3",10,"4.3.3",0.20667124285988
"357",2,"y","3",10,"8.3.6",-0.174260609834844
"358",2,"y","3",10,"16.4.2",0.321409293212893
"359",2,"n","3",10,"19.3.10",-0.119433057821801
"360",2,"n","3",10,"22.6.2",0.161170305622277
"361",1,"n","3",1000,"14.1.1",0.0587260339715556
"362",1,"y","3",1000,"15.2.4",1.51806651326632
"363",1,"y","3",1000,"16.6.7",1.26352829704587
"364",1,"n","3",1000,"17.4.9",-0.172809589247337
"365",1,"y","3",1000,"22.2.8",1.70098972936722
"366",1,"n","3",1000,"23.2.1",-0.278315285635034
"367",2,"n","3",1000,"1.3.2",-0.138255110972723
"368",2,"y","3",1000,"4.2.5",0.564777380305044
"369",2,"y","3",1000,"6.6.1",2.02198242694529
"370",2,"n","3",1000,"19.3.2",-0.0939433142465537
"371",2,"y","3",1000,"24.3.2",0.510548726930008
"372",2,"n","3",1000,"31.2.5",-0.110401543904647
"373",1,"y","3",100,"6.5.6",1.32886159961801
"374",1,"y","3",100,"7.5.9",1.50769228764003
"375",1,"y","3",100,"24.2.1",1.08364523372479
"376",1,"n","3",100,"27.2.5",-0.160135290934013
"377",1,"n","3",100,"29.3.10",-0.0976163622364034
"378",1,"n","3",100,"32.1.9",-0.164140613939977
"379",2,"n","3",100,"2.4.6",-0.0908412120261155
"380",2,"y","3",100,"7.4.8",1.93818031089897
"381",2,"n","3",100,"13.3.3",-0.114330811924809
"382",2,"n","3",100,"13.6.4",-0.0991183514620394
"383",2,"y","3",100,"14.3.10",1.66837838168102
"384",2,"y","3",100,"28.4.8",1.71976418704258
