"","block","mic","rep","id","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","aff.mod","aff.post","aff.min","aff.max","aff.na"
"37",4,"2",1,"b4.m2",45.3183744841519,45.4676186768192,31.8931868522778,59.9738656417481,0,1.57863220857014,1.5788976242546,1.40520073144294,1.75002429778598,0,0.0220661047838268,0.0219936743845481,0.0166739293740621,0.0313546590571767,0
"38",4,"10",1,"b4.m10",39.2803098686496,38.8121275490032,23.6222313801954,57.5922104160055,0,1.68837117886396,1.68786718047465,1.48846304106846,1.89121929109591,0,0.0254580476412718,0.0257651425772191,0.0166686255877694,0.0394431785924461,0
"39",4,"13",2,"b4.m13",51.2870721055154,52.7561354426895,38.3781319915434,59.9997430856682,0,1.57637654733866,1.57764003574107,1.35743044371891,1.79111666897956,0,0.0194980910187786,0.0189551412731707,0.0166667380320644,0.0260565053093347,0
"40",4,"3",1,"b4.m3",48.6576025843464,49.9287056608087,33.8832895640033,59.9962906785877,0,1.58913549598339,1.58978587983765,1.36899037298069,1.80863762710174,0,0.0205517729375699,0.0200285584771051,0.0166676970974289,0.0295130730477354,0
"41",4,"4",3,"b4.m4",43.4581733111407,43.7967370805127,27.6893911803213,59.8300409144481,0,1.59632410402106,1.59686722716295,1.37139832260209,1.82179936252088,0,0.0230106312301821,0.0228327511803185,0.0166682726036455,0.036030605948567,0
"42",4,"5",1,"b4.m5",46.6080044479682,46.902689969742,34.2766974858601,59.9977041112628,0,1.52437653038257,1.52358394387975,1.37973264660635,1.65080489820575,0,0.0214555420650195,0.0213207387634986,0.0166673044379423,0.0291743392260157,0
"43",4,"11",2,"b4.m11",47.4737308922443,49.5820455523518,28.4791872398419,59.9950850171952,0,1.38868155637327,1.39075810109311,1.09693985442377,1.65723757828746,0,0.0210642808392245,0.0201685910508378,0.0166680320515154,0.0351133616131087,0
"44",4,"8",3,"b4.m8",44.0378940809603,44.4860873993714,27.8949922145162,59.998230509575,0,1.52439130767318,1.52401002534165,1.31873910671159,1.75233885051525,0,0.0227077161810139,0.0224789380441746,0.016667158206281,0.0358487284136832,0
"45",4,"15",2,"b4.m15",41.4389340392803,41.5524352474999,25.0159649756463,59.8079017029046,0,1.61939304479693,1.61889886776786,1.43172498701709,1.82678899746197,0,0.0241318948757729,0.0240659781820952,0.0166672970972456,0.0397476127702395,0
"46",4,"none",2,"b4.mnone",48.7601519677253,49.531395795273,35.6916022696774,59.9857612254304,0,1.45784069474931,1.45999505449735,1.31906354324892,1.58752615957526,0,0.0205085496998021,0.0201892150214897,0.0166668433717051,0.0280111769999219,0
"47",4,"1",2,"b4.m1",53.4121391311368,54.9562821672463,42.3592371113449,59.9970587627787,0,1.61710286756366,1.61802995033697,1.3805987614052,1.82675529503381,0,0.0187223357137001,0.0181962818719016,0.0166674837170582,0.0236076017462593,0
"48",4,"12",2,"b4.m12",42.3099379204752,42.3106194991302,27.5982665681089,59.9520075351643,0,1.4714787449661,1.47229049670404,1.28818544670564,1.66796925739422,0,0.0236351091291974,0.0236347284266334,0.0166743666907953,0.0362258531469471,0
"49",4,"all",3,"b4.mall",53.6555969289903,55.0502264405408,42.7614409426843,59.9975287303424,0,1.55821343137739,1.55866905603432,1.38360373206985,1.72621975267209,0,0.018637384676261,0.0181652295559024,0.0166673531587356,0.0233855543207807,0
"50",4,"6",1,"b4.m6",45.6461903683506,46.2344633268645,30.1769768658264,59.9998712650725,0,1.53233958455002,1.53371161885858,1.34216396990337,1.73866406555294,0,0.0219076332971122,0.0216288874373891,0.0166667024264455,0.0331378455981931,0
"51",4,"9",2,"b4.m9",41.2122515136259,41.1995747949314,25.5681549691245,59.7316771785816,0,1.49252277676621,1.49230547251255,1.22815438771954,1.72899266593705,0,0.0242646291642031,0.0242720951621693,0.0166685995677062,0.0387742982491468,0
