"","block","Chlamy","mic","salt","well.ID","r.exp"
"215",2,"y","2",2.67,"27.2.6",0.775902465309287
"216",1,"y","2",8,"2.4.7",0.186228839977415
"217",1,"n","2",8,"14.5.3",-0.21807123669955
"218",1,"y","2",8,"18.5.1",0.0313597693118574
"219",1,"n","2",8,"25.4.3",-0.0758226305489445
"220",1,"n","2",8,"26.5.7",-0.0697724877381331
"221",1,"y","2",8,"32.4.10",1.19396225928105
"222",2,"y","2",8,"1.5.4",0.269130572195799
"223",2,"y","2",8,"9.5.2",0.118593476715648
"224",2,"n","2",8,"14.1.3",-0.0558370201463812
"225",2,"y","2",8,"24.6.5",-0.0819411414446884
"226",2,"n","2",8,"25.6.3",-0.0926483124023918
"227",2,"n","2",8,"30.2.5",0.184900960147866
"228",1,"y","2",0,"1.2.8",1.5476991377127
"229",1,"n","2",0,"2.2.9",-0.108441780038474
"230",1,"n","2",0,"4.2.3",-0.112858545213615
"231",1,"n","2",0,"10.2.3",-0.244098132158767
"232",1,"y","2",0,"21.3.3",1.71731816260534
"233",1,"y","2",0,"24.6.8",1.42530238068991
"234",2,"n","2",0,"2.2.5",0.0234506186110101
"235",2,"n","2",0,"6.6.3",-0.0885105923824894
"236",2,"n","2",0,"7.1.4",-0.0398851137224912
"237",2,"y","2",0,"14.3.7",0.569719356799636
"238",2,"y","2",0,"19.6.8",1.89604960381418
"239",2,"y","2",0,"30.3.7",1.82514901587401
"240",1,"n","2",4,"2.3.9",-0.114501449533092
"241",1,"n","2",4,"6.6.2",-0.0945432384843094
"242",1,"y","2",4,"8.5.5",0.651532129546321
"243",1,"n","2",4,"15.6.2",-0.183095878661871
"244",1,"y","2",4,"16.2.5",1.47459037935544
"245",1,"y","2",4,"18.5.2",0.411626056152185
"246",2,"y","2",4,"10.2.3",0.426707838178078
"247",2,"y","2",4,"19.1.1",0.369744007860057
"248",2,"y","2",4,"20.5.5",0.152452879515312
"249",2,"n","2",4,"27.6.4",-0.0979086087016067
"250",2,"n","2",4,"29.5.1",-0.128104992662009
"251",2,"n","2",4,"29.6.2",-0.111527265898227
"252",1,"y","2",12,"2.6.2",-0.0870104565658799
"253",1,"n","2",12,"13.4.9",-0.160114070149129
"254",1,"n","2",12,"14.6.4",-0.159337006980975
"255",1,"n","2",12,"17.6.3",-0.130306745380456
"256",1,"y","2",12,"19.5.6",-0.251316816752294
"257",1,"y","2",12,"20.3.6",-0.236684229167953
"258",2,"y","2",12,"3.1.8",-0.191702102653709
"259",2,"n","2",12,"5.1.10",-0.0289182737760044
