"","block","mic","rep","id","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"26",1,"1",1,"b1.m1.r1",38.3032156343271,36.1680551209388,10.9302149291058,79.3842318710287,0,1.55820704969063,1.56501314786943,1.26517537935013,1.91766573550515,0,20.2969933118025,7.7526298465154,37.7204998443843,0
"27",1,"8",3,"b1.m8.r3",17.5641178081004,18.4554637111655,4.96159645507872,38.5699058314184,0,1.48803971600034,1.45849971267786,1.21809132710364,1.7678725918035,0,11.5366419465716,4.70283682253408,21.1904438145175,0
"28",1,"12",1,"b1.m12.r1",27.9914441823499,25.8686853864558,7.63897957001675,55.9384728718871,0,1.55548719187372,1.58679403136808,1.30343466349143,1.92530884996766,0,14.2320802191349,5.52780193923713,27.747667845056,0
"29",1,"7",1,"b1.m7.r1",30.5632053634318,31.2947947120123,12.5846847097596,55.9466827462929,0,1.61396633946407,1.61690815231113,1.33297273182098,1.85495986555728,0,16.7862038297657,8.79789433252085,28.6048400121168,0
"30",1,"15",1,"b1.m15.r1",11.4818145771386,12.0474559488364,3.94911907126404,22.620805532071,0,1.46830639061729,1.46442457723444,1.23874253905759,1.66367357315872,0,7.52877185253729,2.98233695479871,12.8147629825741,0
"31",1,"14",3,"b1.m14.r3",17.7487202937428,18.0919363460069,6.53423822658573,33.3114216089097,0,1.60168171368907,1.59881664561858,1.37929794485168,1.85549910323723,0,9.77417625193983,4.5254957382622,16.4347667422128,0
"32",1,"15",3,"b1.m15.r3",16.0276279554756,18.5847241619669,3.85198282751781,44.1911612761022,0,1.37590335975034,1.3293994554849,1.08345908915085,1.6996207481578,0,13.4131725143603,2.89008830179471,24.0155050163266,0
"33",1,"9",3,"b1.m9.r3",26.4551164695726,27.3502438453334,10.6301551461655,46.4448123801804,0,1.42532112688015,1.39576969286522,1.23460802882757,1.64115793725147,0,18.3815491648667,8.7126092701103,27.2463685162701,0
"34",1,"5",1,"b1.m5.r1",37.3524929246408,39.7413973768014,12.5733251434004,76.3702964285959,0,1.47743135005266,1.44089459033153,1.21351984221025,1.76481560260925,0,25.1172305469017,11.6910690358637,41.0702640677134,0
"35",1,"8",2,"b1.m8.r2",56.0959108839524,52.1569469181739,18.751638920349,98.4863683072889,0,1.77279179524646,1.79040449854001,1.49104106154814,2.17709882885068,0,23.5331820099575,10.1603415693482,36.8270719206423,0
"36",1,"12",3,"b1.m12.r3",13.5787975540594,13.9023703447876,5.39220324984334,25.9543196323608,0,1.8475287753357,1.82348773044775,1.58075659230624,2.11317935336721,0,6.14132450887981,2.58938903797525,10.0689735867837,0
"37",1,"6",1,"b1.m6.r1",13.2990732316253,13.7573533890217,3.1971000439147,30.2118125674212,0,1.21359447532498,1.20766370739642,0.980599617410622,1.43962060309458,0,12.1862022187242,3.62588444824515,22.603506345461,0
