"","unique.id","temp","nit","salt","block","mic","plate","well","rep","µ"
"169","b1.t25.p2.w68",25,1000,0,1,"9",2,68,"2",0.118058073740958
"170","b1.t25.p2.w71",25,1000,0,1,"7",2,71,"3",0.178226225280685
"171","b1.t25.p2.w73",25,1000,0,1,"2",2,73,"3",0.173318064763033
"172","b1.t25.p2.w75",25,1000,0,1,"9",2,75,"3",0.305398662573915
"173","b1.t25.p2.w76",25,1000,0,1,"7",2,76,"2",0.49383995473277
"174","b1.t25.p2.w78",25,1000,0,1,"2",2,78,"2",0.0881576845960685
"175","b1.t25.p2.w83",25,1000,0,1,"15",2,83,"2",0.29405683977327
"176","b1.t25.p2.w85",25,1000,0,1,"all",2,85,"2",0.411490199126238
"177","b1.t25.p2.w86",25,1000,0,1,"14",2,86,"2",0.205740598077191
"178","b1.t25.p2.w87",25,1000,0,1,"13",2,87,"2",0.444779844127288
"179","b1.t25.p2.w88",25,1000,0,1,"8",2,88,"2",0.391457267384244
"180","b1.t25.p2.w95",25,1000,0,1,"6",2,95,"3",0.671229252769234
"181","b1.t25.p2.w96",25,1000,0,1,"11",2,96,"1",0.336424050168488
"182","b1.t25.p2.w100",25,1000,0,1,"15",2,100,"3",0.385920005959752
"183","b1.t25.p2.w102",25,1000,0,1,"all",2,102,"3",0.38948433646979
"184","b1.t25.p2.w104",25,1000,0,1,"9",2,104,"1",0.600498648269233
"185","b1.t25.p2.w107",25,1000,0,1,"3",2,107,"1",0.600763733806639
"186","b1.t25.p2.w109",25,1000,0,1,"5",2,109,"3",0.379520512046218
"187","b1.t25.p2.w111",25,1000,0,1,"4",2,111,"2",0.234041926338201
"188","b1.t25.p2.w112",25,1000,0,1,"4",2,112,"3",0.425429556632148
"189","b1.t25.p2.w113",25,1000,0,1,"1",2,113,"2",0.491356212460164
"190","b1.t25.p2.w115",25,1000,0,1,"1",2,115,"1",0.280452713816183
"191","b1.t25.p2.w117",25,1000,0,1,"14",2,117,"3",0.574278784904258
"192","b1.t25.p2.w119",25,1000,0,1,"4",2,119,"1",0.109625568318535
"193","b1.t30.p1.w2",30,1000,9.33,1,"15",1,2,"2",-0.00435889361564464
"194","b1.t30.p1.w3",30,1000,1.33,1,"6",1,3,"1",0.0205136889359726
"195","b1.t30.p1.w5",30,1000,9.33,1,"4",1,5,"3",0.0755089702080124
"196","b1.t30.p1.w7",30,1000,1.33,1,"4",1,7,"3",0.0103032688509515
"197","b1.t30.p1.w8",30,1000,2.67,1,"7",1,8,"3",0.0123740643072721
"198","b1.t30.p1.w12",30,25,0,1,"1",1,12,"3",0.0751848267827259
"199","b1.t30.p1.w15",30,0,0,1,"2",1,15,"1",0.00722685929112007
"200","b1.t30.p1.w17",30,1000,8,1,"10",1,17,"1",0.00392395201131737
"201","b1.t30.p1.w22",30,1000,1.33,1,"13",1,22,"3",0.0138652042780929
"202","b1.t30.p1.w27",30,25,0,1,"2",1,27,"3",0.024483202468238
"203","b1.t30.p1.w35",30,10,0,1,"5",1,35,"3",0.114420477114097
"204","b1.t30.p1.w38",30,25,0,1,"2",1,38,"1",0.0506849340235865
"205","b1.t30.p1.w42",30,1000,10.67,1,"15",1,42,"3",0.0404967809747657
"206","b1.t30.p1.w47",30,1000,1.33,1,"all",1,47,"3",0.0666869892677284
"207","b1.t30.p1.w48",30,1000,0,1,"4",1,48,"1",0.0249136680304672
"208","b1.t30.p1.w53",30,1000,8,1,"all",1,53,"3",0.0111079353594106
"209","b1.t30.p1.w54",30,25,0,1,"13",1,54,"3",0.0191217708091649
"210","b1.t30.p1.w56",30,5,0,1,"10",1,56,"1",0.0097133496567262
"211","b1.t30.p1.w57",30,0,0,1,"1",1,57,"3",0.026610562657682
"212","b1.t30.p1.w59",30,25,0,1,"all",1,59,"2",0.00796437404545626
"213","b1.t30.p2.w61",30,10,0,1,"8",2,61,"1",0.0923361208895017
"214","b1.t30.p2.w65",30,1000,5.33,1,"5",2,65,"1",0.0361261379125327
"215","b1.t30.p2.w67",30,1000,2.67,1,"9",2,67,"2",-0.00754049874930724
"216","b1.t30.p2.w71",30,1000,0,1,"11",2,71,"2",0.0411496865690925
"217","b1.t30.p2.w73",30,25,0,1,"3",2,73,"2",0.00162433800481416
"218","b1.t30.p2.w74",30,400,0,1,"1",2,74,"1",0.0876541783287292
"219","b1.t30.p2.w77",30,1000,6.67,1,"11",2,77,"3",0.0403162316699725
"220","b1.t30.p2.w78",30,400,0,1,"9",2,78,"1",-0.00470781661515445
"221","b1.t30.p2.w79",30,1000,0,1,"2",2,79,"2",0.0251486181045496
"222","b1.t30.p2.w80",30,1000,0,1,"10",2,80,"3",0.00945362663700434
"223","b1.t30.p2.w85",30,1000,1.33,1,"7",2,85,"1",-0.00418439016317632
"224","b1.t30.p2.w86",30,1000,9.33,1,"10",2,86,"3",0.00647833641773492
"225","b1.t30.p2.w89",30,1000,4,1,"2",2,89,"2",0.0275499281048475
"226","b1.t30.p2.w94",30,1000,8,1,"7",2,94,"3",0.0138202609729193
"227","b1.t30.p2.w96",30,1000,6.67,1,"6",2,96,"1",0.0692864047405282
"228","b1.t30.p2.w100",30,1,0,1,"12",2,100,"2",-0.00199734264936556
"229","b1.t30.p2.w104",30,1000,2.67,1,"3",2,104,"3",-0.00661909781018499
"230","b1.t30.p2.w105",30,100,0,1,"15",2,105,"2",0.0159092784456686
"231","b1.t30.p2.w107",30,10,0,1,"14",2,107,"2",-0.00682794515519999
"232","b1.t30.p2.w108",30,5,0,1,"8",2,108,"3",-0.0106020801698799
"233","b1.t30.p2.w109",30,1000,2.67,1,"all",2,109,"1",0.0603169037002334
"234","b1.t30.p2.w110",30,1000,1.33,1,"6",2,110,"3",0.00922257280689414
"235","b1.t30.p2.w114",30,0,0,1,"8",2,114,"1",0.00779960899273148
"236","b1.t30.p2.w115",30,0,0,1,"all",2,115,"2",-0.00185627654000207
"237","b1.t30.p2.w116",30,1000,10.67,1,"8",2,116,"3",0.0114626842096779
"238","b1.t30.p2.w120",30,400,0,1,"15",2,120,"2",0.00320767224680337
"239","b1.t30.p3.w124",30,1000,1.33,1,"10",3,124,"3",0.0144650640713825
"240","b1.t30.p3.w125",30,1000,0,1,"13",3,125,"3",-0.00639548354926076
"241","b1.t30.p3.w131",30,1,0,1,"10",3,131,"2",0.0296805809329546
"242","b1.t30.p3.w132",30,700,0,1,"10",3,132,"1",0.00416316750453178
"243","b1.t30.p3.w133",30,10,0,1,"5",3,133,"2",-0.0117836799383824
"244","b1.t30.p3.w136",30,0,0,1,"3",3,136,"1",0.0550192373862856
"245","b1.t30.p3.w137",30,1000,6.67,1,"8",3,137,"2",-0.0050905987267281
"246","b1.t30.p3.w141",30,400,0,1,"7",3,141,"2",0.0144220815569389
"247","b1.t30.p3.w143",30,1000,12,1,"1",3,143,"1",0.0505105316065941
"248","b1.t30.p3.w145",30,50,0,1,"15",3,145,"1",0.035327457532898
"249","b1.t30.p3.w146",30,0,0,1,"11",3,146,"3",-0.00346867689852741
"250","b1.t30.p3.w149",30,5,0,1,"6",3,149,"2",0.061964222317211
"251","b1.t30.p3.w151",30,1000,12,1,"15",3,151,"2",0.0264060555085236
"252","b1.t30.p3.w152",30,0,0,1,"10",3,152,"3",0.0387663896476619
"253","b1.t30.p3.w153",30,25,0,1,"9",3,153,"3",0.0440843658334226
"254","b1.t30.p3.w154",30,1,0,1,"15",3,154,"3",0.00081100611623002
"255","b1.t30.p3.w161",30,400,0,1,"4",3,161,"3",-0.00688828028993726
"256","b1.t30.p3.w162",30,1000,2.67,1,"all",3,162,"3",0.0554423686912947
"257","b1.t30.p3.w163",30,1000,12,1,"13",3,163,"3",0.0544737201048097
"258","b1.t30.p3.w165",30,25,0,1,"5",3,165,"3",0.040993915258265
"259","b1.t30.p3.w166",30,1000,5.33,1,"14",3,166,"3",0.0454512124533584
"260","b1.t30.p3.w167",30,10,0,1,"6",3,167,"2",0.0735403310588261
"261","b1.t30.p3.w168",30,1000,0,1,"5",3,168,"2",0.0178289564731648
"262","b1.t30.p3.w172",30,1000,6.67,1,"4",3,172,"3",0.00674945807329007
"263","b1.t30.p3.w175",30,1000,4,1,"14",3,175,"3",0.0371964952338069
"264","b1.t30.p3.w176",30,25,0,1,"11",3,176,"1",0.0168648269884491
"265","b1.t30.p3.w177",30,25,0,1,"6",3,177,"2",0.0039389880183267
"266","b1.t30.p3.w180",30,400,0,1,"1",3,180,"2",0.0302434760525737
"267","b1.t30.p4.w181",30,1,0,1,"5",4,181,"2",-0.00211899678797134
"268","b1.t30.p4.w183",30,10,0,1,"1",4,183,"2",0.0097891665916342
"269","b1.t30.p4.w189",30,1000,2.67,1,"5",4,189,"3",0.112370553784471
"270","b1.t30.p4.w190",30,1000,5.33,1,"1",4,190,"3",0.0491898667072733
"271","b1.t30.p4.w192",30,1000,10.67,1,"8",4,192,"2",0.0393418005396268
"272","b1.t30.p4.w193",30,1000,0,1,"2",4,193,"3",0.0407695013043137
"273","b1.t30.p4.w194",30,100,0,1,"6",4,194,"2",0.0478140812408764
"274","b1.t30.p4.w196",30,1000,6.67,1,"12",4,196,"3",2.87719392440559e-05
"275","b1.t30.p4.w198",30,0,0,1,"15",4,198,"3",0.00169139512980764
"276","b1.t30.p4.w199",30,1000,5.33,1,"5",4,199,"2",-0.000714191160675976
"277","b1.t30.p4.w205",30,5,0,1,"8",4,205,"1",0.0681763512881477
"278","b1.t30.p4.w208",30,0,0,1,"8",4,208,"2",0.0997484642398742
"279","b1.t30.p4.w210",30,5,0,1,"7",4,210,"2",0.0117793199421128
"280","b1.t30.p4.w212",30,100,0,1,"5",4,212,"2",0.0741788058162597
"281","b1.t30.p4.w213",30,50,0,1,"2",4,213,"1",0.0602172917650844
"282","b1.t30.p4.w214",30,25,0,1,"13",4,214,"1",0.0890453282720103
"283","b1.t30.p4.w218",30,50,0,1,"8",4,218,"2",0.034911912495075
"284","b1.t30.p4.w219",30,10,0,1,"3",4,219,"3",0.0839432722784036
"285","b1.t30.p4.w221",30,0,0,1,"9",4,221,"2",0.0908748279131942
"286","b1.t30.p4.w223",30,10,0,1,"12",4,223,"2",0.0584401954297044
"287","b1.t30.p4.w224",30,1,0,1,"8",4,224,"1",0.0158620116533714
"288","b1.t30.p4.w226",30,1000,6.67,1,"2",4,226,"1",0.0489241312318601
"289","b1.t30.p4.w228",30,1000,8,1,"4",4,228,"1",0.00844788767338861
"290","b1.t30.p4.w230",30,1000,12,1,"9",4,230,"2",0.00195679309934154
"291","b1.t30.p4.w232",30,25,0,1,"14",4,232,"2",0.0217323170611438
"292","b1.t30.p4.w233",30,1,0,1,"3",4,233,"3",0.0525661345387122
"293","b1.t30.p4.w234",30,1000,10.67,1,"14",4,234,"3",0.0120309532481917
"294","b1.t30.p4.w240",30,1000,0,1,"14",4,240,"1",0.0332669822055023
