"","unique.id","temp","nit","salt","block","mic","plate","well","rep","µ","k","time"
"243","b1.t30.p2.w64",30,1000,12,1,"all",2,64,2,-0.0547240847793946,1.216,7.70895833333333
"244","b1.t30.p2.w66",30,1000,12,1,"12",2,66,2,0.0205079208330958,0.896,1.45782407407407
"245","b1.t30.p2.w68",30,1000,1.33,1,"10",2,68,3,1.59776252512981,1.204,1.78299768518519
"246","b1.t30.p2.w69",30,50,0,1,"2",2,69,2,1.07639471333093,1.113,0.878981481481481
"247","b1.t30.p2.w70",30,1,0,1,"4",2,70,3,-0.186319882488692,0.874,8.52908564814815
"248","b1.t30.p2.w72",30,0,0,1,"none",2,72,2,0.220605785310265,1.202,5.5124537037037
"249","b1.t30.p2.w75",30,0,0,1,"13",2,75,3,-0.119248033975827,1.024,7.70895833333333
"250","b1.t30.p2.w76",30,50,0,1,"none",2,76,2,1.37388072205711,0.945,1.78299768518519
"251","b1.t30.p2.w81",30,1000,0,1,"12",2,81,2,1.6538359141762,1.575,2.47125
"252","b1.t30.p2.w82",30,1000,6.67,1,"4",2,82,2,0.262785292238947,1.106,1.45782407407407
"253","b1.t30.p2.w83",30,1000,0,1,"5",2,83,3,1.95587186715501,1.337,1.78299768518519
"254","b1.t30.p2.w84",30,1000,0,1,"11",2,84,2,1.4967603218874,1.309,1.78299768518519
"255","b1.t30.p2.w87",30,50,0,1,"1",2,87,2,0.715525092730592,1.086,0.878981481481481
"256","b1.t30.p2.w88",30,5,0,1,"10",2,88,2,0.311341636494258,1.049,0.878981481481481
"257","b1.t30.p2.w90",30,1,0,1,"13",2,90,2,-0.165922542636002,1.117,1.45782407407407
"258","b1.t30.p2.w91",30,10,0,1,"11",2,91,1,0.456880872733205,1.355,0.878981481481481
"259","b1.t30.p2.w92",30,1000,0,1,"all",2,92,2,1.69786794628736,1.21,1.78299768518519
"260","b1.t30.p2.w93",30,1000,1.33,1,"4",2,93,2,1.38291042967525,1.251,1.78299768518519
"261","b1.t30.p2.w95",30,1000,12,1,"13",2,95,1,-0.182828319498811,1.205,8.52908564814815
