"","mic","salt","well.ID","r.exp"
"414","13",0,"29.5.3",1.86455643548972
"415","13",4,"14.6.3",0.313115547186026
"416","13",4,"16.4.6",0.238170129285649
"417","13",4,"32.6.3",0.0761857793499058
"418","13",12,"19.1.6",-0.174398994215687
"419","13",12,"22.1.7",-0.156072809469442
"420","13",12,"22.6.5",-0.126882576559879
"421","14",5.33,"17.3.4",0.148407186670679
"422","14",5.33,"20.3.1",0.237922108137116
"423","14",5.33,"32.2.7",0.191389010908715
"424","14",1.33,"3.2.4",1.49417356803721
"425","14",1.33,"9.5.10",1.40258113651499
"426","14",1.33,"20.1.9",1.28367326903931
"427","14",10.67,"17.3.2",-0.135713449521709
"428","14",10.67,"21.6.5",-0.224960424269249
"429","14",10.67,"25.1.8",-0.127458254659038
"430","14",6.67,"4.5.8",0.1422048856732
"431","14",6.67,"15.3.4",0.0225915185325175
"432","14",6.67,"30.3.2",-0.16034362021702
"433","14",2.67,"6.4.3",0.72130038300966
"434","14",2.67,"17.4.4",0.336854457208389
"435","14",2.67,"17.6.5",0.570467606065738
"436","14",9.33,"11.5.4",0.174833493248728
"437","14",9.33,"11.5.5",-0.11753108702662
"438","14",9.33,"31.5.4",-0.157251062375497
"439","14",8,"12.5.9",0.0247498408519368
"440","14",8,"19.4.10",0.0659200735907937
"441","14",8,"29.6.5",-0.13733719944186
"442","14",0,"2.1.10",2.03414673695478
"443","14",0,"7.1.5",0.921381860220915
"444","14",0,"21.6.4",1.62800801490226
"445","14",4,"2.4.9",0.471336194599872
"446","14",4,"17.3.1",0.159244631037894
"447","14",4,"32.4.2",0.474261723871236
"448","14",12,"2.3.8",-0.20520915590971
"449","14",12,"15.5.5",-0.118713648882332
"450","14",12,"32.3.8",-0.188376822681608
"451","15",5.33,"12.1.8",0.252183912816211
"452","15",5.33,"16.1.1",0.183650375303165
"453","15",5.33,"18.6.5",0.23657833713256
"454","15",1.33,"1.1.8",1.43137946943028
"455","15",1.33,"11.2.5",1.3216328260302
"456","15",1.33,"16.5.6",1.3794095904938
"457","15",10.67,"1.1.10",-0.155488456771246
"458","15",10.67,"7.3.6",-0.15661460546717
"459","15",10.67,"20.4.1",-0.212233067376415
"460","15",6.67,"1.4.3",0.120875979307539
"461","15",6.67,"11.6.5",0.0790019579446779
"462","15",6.67,"14.1.9",0.0290939798642681
"463","15",2.67,"21.5.7",0.233037817445977
"464","15",2.67,"26.5.8",0.838579946836057
"465","15",2.67,"29.6.4",0.305217589203147
"466","15",9.33,"11.4.1",-0.166054455106617
"467","15",9.33,"12.3.8",0.0732696199348298
"468","15",9.33,"22.2.4",-0.151351841610333
"469","15",8,"2.5.7",0.0339761098140656
"470","15",8,"9.2.7",0.0891331908115411
"471","15",8,"27.4.2",-0.507038755588237
"472","15",0,"3.6.6",2.05861140801974
"473","15",0,"10.4.8",0.220004629436682
"474","15",0,"12.4.3",1.41649010545842
